Father & sons,Cashback Father & sons,22253,http://action.metaffiliation.com/suivi.php?mclic=S456ED44DAA141&argsite={userid},3%,3% par achat,merc136,1,3
Fiteurope,Cashback Fiteurope,653,http://action.metaffiliation.com/suivi.php?mclic=S328D44DAA112&argsite={userid},9.5%,"9,5% par achat",merc137,1,9.5
Fitnessboutique FR,Cashback Fitnessboutique FR,176,http://action.metaffiliation.com/suivi.php?mclic=S2B044DAA1D1&argsite={userid},6.5%,"6,5% par achat",merc138,1,6.5
Florajet,Cashback Florajet,169,http://action.metaffiliation.com/suivi.php?mclic=S2A944DAA1C1&argsite={userid},2€,2€ par achat,merc139,0,2
Flinndal,Cashback Flinndal,25985,http://action.metaffiliation.com/suivi.php?mclic=S4658144DAA161&argsite={userid},2€,2€ par achat,merc140,0,2
Foliflora,Cashback Foliflora,4757,http://action.metaffiliation.com/suivi.php?mclic=S4129544DAA111&argsite={userid},5%,5% par achat,merc141,1,5
Fusalp,Cashback Fusalp,6677,http://action.metaffiliation.com/suivi.php?mclic=S41A1544DAA111&argsite={userid},4.5%,"4,5% par achat",merc143,1,4.5
Galerie du web,Cashback Galerie du web,28923,http://action.metaffiliation.com/suivi.php?mclic=S470FB44DAA131&argsite={userid},4%,4% par achat,merc145,1,4
Game Duell,Cashback Game Duell,7616,http://action.metaffiliation.com/suivi.php?mclic=S41DC044DAA111&argsite={userid},5€,5€ par achat,merc146,0,5
Goeland,Cashback Goeland,21459,http://action.metaffiliation.com/suivi.php?mclic=S453D344DAA131&argsite={userid},2.5%,"2,5% par achat",merc147,1,2.5
Gootickets,Cashback Gootickets,26517,http://action.metaffiliation.com/suivi.php?mclic=S4679544DAA131&argsite={userid},1%,1% par achat,merc148,1,1
Grand Bleu vacances,Cashback Grand Bleu vacances,14315,http://action.metaffiliation.com/suivi.php?mclic=S437EB44DAA111&argsite={userid},3.5%,"3,5% par achat",merc149,1,3.5
Green Republic,Cashback Green Republic,7126,http://action.metaffiliation.com/suivi.php?mclic=S41BD644DAA1D1&argsite={userid},9%,9%  par achat,merc150,1,9
Grigno-tek,Cashback Grigno-tek,1024,http://action.metaffiliation.com/suivi.php?mclic=S340044DAA111&argsite={userid},3.5%,"3,5% par achat",merc151,1,3.5
Guitarshop,Cashback Guitarshop,21755,http://action.metaffiliation.com/suivi.php?mclic=S454FB44DAA131&argsite={userid},2.5%,"2,5% par achat",merc152,1,2.5
Gsell Maroquinerie,Cashback Gsell Maroquinerie,227,http://action.metaffiliation.com/suivi.php?mclic=S2E344DAA1115&argsite={userid},5%,5% par achat,merc153,1,5
Homemaison,Cashback Homemaison,5661,http://action.metaffiliation.com/suivi.php?mclic=S455C744DAA151&argsite={userid},3%,3% par achat,merc155,1,3
Hoodboyz,Cashback Hoodboyz,24129,http://action.metaffiliation.com/suivi.php?mclic=S45E4144DAA141&argsite={userid},3.5%,"3,5% par achat",merc156,1,3.5
Hyper Undies,Cashback Hyper Undies,3641,http://action.metaffiliation.com/suivi.php?mclic=S3E3944DAA111&argsite={userid},4%,4% par achat,merc157,1,4
